predictor,subset,n,SROCC,SROCC_lo,SROCC_hi,KROCC,PLCC,PLCC_lo,PLCC_hi,RMSE,SROCC_per_content
claude,all,216,0.72265484273582,0.640933548232004,0.8263481013473039,0.5400177543114529,0.7194885634578291,0.6482586796444455,0.7782346856528821,0.7796997213675672,0.8114362264802079
claude,traditional,108,0.7443555080439841,0.6569398954683867,0.8320421292645166,0.5608436852924865,0.7459928987505515,0.6484302564489061,0.8194467897175667,0.742947902632206,0.8318985139372138
claude,neural,108,0.7015295756102456,0.6162547104876486,0.8387693617422212,0.5267406667466593,0.695358824828067,0.5829928863094893,0.7816237362598455,0.8115036041633465,0.8373265557014338
gemini,all,216,0.7359697949372752,0.68987330507659,0.8300727330289985,0.553264082232042,0.7321295374244063,0.6634813528217276,0.7885538669355399,0.7647245712649848,0.7933651330496451
gemini,traditional,108,0.7781148447231895,0.7606908122531977,0.8383793946909994,0.6008818206723946,0.7779488903923052,0.6904845027715165,0.8429927281721642,0.7009714102855223,0.8441615993038295
gemini,neural,108,0.7059233633362636,0.5997100203467309,0.8497724953564593,0.5260821356938297,0.6934551955327736,0.5805608237412396,0.7801892655795235,0.8135779539110871,0.7892021489796242
gpt,all,216,0.7049470927970388,0.6428042248660081,0.7972965162044504,0.522706277223896,0.7105117948442025,0.6374830270336945,0.7708873826676002,0.7900069654283339,0.7497921157791705
gpt,traditional,108,0.7377216979947041,0.6990396096821757,0.821735884686743,0.5612395078866019,0.7431855354317001,0.6447639882646944,0.8173663418172358,0.7464414406683358,0.7878867143410484
gpt,neural,108,0.6878586763242531,0.5553213727177104,0.812897352600873,0.501857133461445,0.6840094674560175,0.5685227564648296,0.7730579643542028,0.8237105647195165,0.7670223045994417
vmaf,all,216,0.906854072647401,0.8769626987223151,0.9521180036382518,0.7305518724565172,0.9108278611570985,0.8849331289929842,0.9311082065825259,0.4634232528609834,0.9398220839471504
vmaf,traditional,108,0.9117709515373063,0.8770862909234605,0.9641905206577298,0.7450096417054531,0.9186816199774992,0.8830030966977764,0.9438045859041744,0.4406664754302595,0.9273710928904043
vmaf,neural,108,0.8986168973249491,0.855419036994908,0.9500183389407525,0.7143451505054942,0.9095918563297325,0.8701950006040432,0.9374314886135238,0.4691798902865923,0.9392887867638264
psnr,all,216,0.6272519280753998,0.5500252104924681,0.7376125416641933,0.4437471049063805,0.6183413593066667,0.5284705863224844,0.6945068019743788,0.8823178464818985,0.7337711162216406
psnr,traditional,108,0.6815307183614498,0.6029116495347804,0.7800939746173862,0.48983601734156945,0.6777249760381627,0.5605408189187082,0.7683008193326679,0.8203286987787125,0.7387270142845339
psnr,neural,108,0.5584528957904858,0.46578009640811174,0.7083466204068529,0.3942294474051266,0.5623121861709651,0.4177268836237256,0.6791211223174956,0.9337518474409274,0.7410143846770799
ssim,all,216,0.5847319042668854,0.4606519528564939,0.7160257775163923,0.41510988678900634,0.5600183953940872,0.46098822480521273,0.6452717992573127,0.9301105412272779,0.6214767786114244
ssim,traditional,108,0.608120443717211,0.46986557704451987,0.7290750084003874,0.43699352292289056,0.6007545175867004,0.4645156153384938,0.709213603519852,0.8918597597671678,0.6156123633448215
ssim,neural,108,0.5552749952214974,0.35430459770119815,0.7230545816979086,0.3928376400003424,0.5881098397745005,0.4490411818089336,0.699358835620576,0.9132639577951588,0.6353125880942186
lpips,all,216,-0.6231540286264559,-0.7733315287701171,-0.5298640747994423,-0.4472943131928226,0.6288797827798285,0.5407863894044661,0.7033276686918667,0.8728794567406788,-0.695446935137928
lpips,traditional,108,-0.649534910423835,-0.7782020112348091,-0.5659126522718048,-0.47106302590335464,0.6408362846085118,0.5141233818640008,0.7401741339063459,0.8564323204712554,-0.6838644850938618
lpips,neural,108,-0.5944532206769556,-0.7664798059579666,-0.4647843647695091,-0.423805354756791,0.5970782430373038,0.4600080317459963,0.7063528222458969,0.9058135074493665,-0.6957315080206805
